"year","state","sector","source","carbdiox_millmtrcton"
2000,"alabama","Electric Power","Petroleum Products",0.2
2000,"alabama","Electric Power","Natural Gas",2.3
2000,"alabama","Electric Power","All",76.7
2000,"alabama","All","Coal",85.3
2000,"alabama","All","Petroleum Products",37.4
2000,"alabama","All","Natural Gas",19.6
2000,"alabama","All","All",142.2
2001,"alabama","Residential","Coal",0
2001,"alabama","Residential","Petroleum Products",0.8
2001,"alabama","Residential","Natural Gas",2.7
2001,"alabama","Residential","All",3.5
2001,"alabama","Commercial","Coal",0
2001,"alabama","Commercial","Petroleum Products",0.7
2001,"alabama","Commercial","Natural Gas",1.4
2001,"alabama","Commercial","All",2.2
2001,"alabama","Industrial","Coal",9.5
2001,"alabama","Industrial","Petroleum Products",3.9
2001,"alabama","Industrial","Natural Gas",9.2
2001,"alabama","Industrial","All",22.6
2001,"alabama","Transportation","Coal",0
2001,"alabama","Transportation","Petroleum Products",30.3
2001,"alabama","Transportation","Natural Gas",1.1
2001,"alabama","Transportation","All",31.4
2001,"alabama","Electric Power","Coal",69.9
2001,"alabama","Electric Power","Petroleum Products",0.2
2001,"alabama","Electric Power","Natural Gas",3.8
2001,"alabama","Electric Power","All",73.9
2001,"alabama","All","Coal",79.4
2001,"alabama","All","Petroleum Products",35.9
2001,"alabama","All","Natural Gas",18.3
2001,"alabama","All","All",133.6
2002,"alabama","Residential","Coal",0
2002,"alabama","Residential","Petroleum Products",0.7
2002,"alabama","Residential","Natural Gas",2.5
2002,"alabama","Residential","All",3.2
2002,"alabama","Commercial","Coal",0
2002,"alabama","Commercial","Petroleum Products",0.6
2002,"alabama","Commercial","Natural Gas",1.4
2002,"alabama","Commercial","All",2
2002,"alabama","Industrial","Coal",8.6
2002,"alabama","Industrial","Petroleum Products",4.3
2002,"alabama","Industrial","Natural Gas",9.5
2002,"alabama","Industrial","All",22.4
2002,"alabama","Transportation","Coal",0
2002,"alabama","Transportation","Petroleum Products",32.2
2002,"alabama","Transportation","Natural Gas",1.2
2002,"alabama","Transportation","All",33.4
2002,"alabama","Electric Power","Coal",71.1
2002,"alabama","Electric Power","Petroleum Products",0.2
2002,"alabama","Electric Power","Natural Gas",6.1
2002,"alabama","Electric Power","All",77.4
2002,"alabama","All","Coal",79.8
2002,"alabama","All","Petroleum Products",38
2002,"alabama","All","Natural Gas",20.7
2002,"alabama","All","All",138.4
2003,"alabama","Residential","Coal",0
2003,"alabama","Residential","Petroleum Products",0.5
2003,"alabama","Residential","Natural Gas",2.5
2003,"alabama","Residential","All",3.1
2003,"alabama","Commercial","Coal",0
2003,"alabama","Commercial","Petroleum Products",0.7
2003,"alabama","Commercial","Natural Gas",1.4
