"year","state","population"
2000,"louisiana",4471885
2000,"massachusetts",6361104
2000,"maryland",5311034
2000,"maine",1277072
2000,"michigan",9952450
2000,"minnesota",4933692
2000,"missouri",5607285
2000,"mississippi",2848353
2000,"montana",903773
2000,"north carolina",8081614
2000,"north dakota",642023
2000,"nebraska",1713820
2000,"new hampshire",1239882
2000,"new jersey",8430621
2000,"new mexico",1821204
2000,"nevada",2018741
2000,"new york",19001780
2000,"ohio",11363543
2000,"oklahoma",3454365
2000,"oregon",3429708
2000,"pennsylvania",12284173
2000,"rhode island",1050268
2000,"south carolina",4024223
2000,"south dakota",755844
2000,"tennessee",5703719
2000,"texas",20944499
2000,"utah",2244502
2000,"virginia",7105817
2000,"vermont",609618
2000,"washington",5910512
2000,"wisconsin",5373999
2000,"west virginia",1807021
2000,"wyoming",494300
2001,"alaska",633714
2001,"alabama",4467634
2001,"arkansas",2691571
2001,"arizona",5273477
2001,"california",34479458
2001,"colorado",4425687
2001,"connecticut",3432835
2001,"district of columbia",574504
2001,"delaware",795699
2001,"florida",16356966
2001,"georgia",8377038
2001,"hawaii",1225948
2001,"iowa",2931997
2001,"idaho",1319962
2001,"illinois",12488445
2001,"indiana",6127760
2001,"kansas",2702162
2001,"kentucky",4068132
2001,"louisiana",4477875
2001,"massachusetts",6397634
2001,"maryland",5374691
2001,"maine",1285692
2001,"michigan",9991120
2001,"minnesota",4982796
2001,"missouri",5641142
2001,"mississippi",2852994
2001,"montana",906961
2001,"north carolina",8210122
2001,"north dakota",639062
2001,"nebraska",1719836
2001,"new hampshire",1255517
2001,"new jersey",8492671
2001,"new mexico",1831690
2001,"nevada",2098399
2001,"new york",19082838
2001,"ohio",11387404
2001,"oklahoma",3467100
2001,"oregon",3467937
2001,"pennsylvania",12298970
2001,"rhode island",1057142
2001,"south carolina",4064995
2001,"south dakota",757972
2001,"tennessee",5750789
2001,"texas",21319622
2001,"utah",2283715
2001,"virginia",7198362
2001,"vermont",612223
2001,"washington",5985722
2001,"wisconsin",5406835
2001,"west virginia",1801481
2001,"wyoming",494657
2002,"alaska",642337
2002,"alabama",4480089
2002,"arkansas",2705927
2002,"arizona",5396255
2002,"california",34871843
2002,"colorado",4490406
2002,"connecticut",3458749
2002,"district of columbia",573158
2002,"delaware",806169
2002,"florida",16689370
2002,"georgia",8508256
2002,"hawaii",1239613
2002,"iowa",2934234
2002,"idaho",1340372
2002,"illinois",12525556
2002,"indiana",6155967
2002,"kansas",2713535
